證券代碼,Y,存貨週轉率大於 8.515,有投保董監責任險,獨立董監有兼任,當年度財報重編,3 年內 CPA 有異動,董事長兼任總經理,董事長內部化,總經理內部化,財務主管內部化,監察人內部化,3 年內董事長有異動,3 年內總經理有異動,3 年內財務主管有異動,3 年內發言人有異動,3 年內內部稽核有異動,四大會計師事務所簽證
2640 大車隊,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1
3130 一零四,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1
3687 歐買尬,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1
5287 數字,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5321 美而快,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0
8044 網家,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
8454 富邦媒,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5278 尚凡,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2314 台揚,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1
2332 友訊,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1
2419 仲琦,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
2439 美律,0,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1
2450 神腦,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1
2485 兆赫,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1
2498 宏達電,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1
3062 建漢,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3257 虹冠電,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
3529 力旺,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1
3530 晶相光,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1
3596 智易,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3680 家登,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1
3686 達能,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1
4968 立積,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1
5344 立衛,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
5388 中磊,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1
6223 旺矽,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0
6233 旺玖,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1
6237 驊訊,0,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0,1
6415 矽力*-KY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8082 深耕,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0
2351 順德,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0
2363 矽統,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1
2379 瑞昱,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
2401 凌陽,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1
2436 偉詮電,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1
2441 超豐,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1
2640 大車隊,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1
3016 嘉晶,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
3025 星通,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3034 聯詠,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3041 揚智,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1
3130 一零四,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1
3152 璟德,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1
3264 欣銓,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1
3311 閎暉,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1
3372 典範,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1
3491 昇達科,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1
3687 歐買尬,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1
5287 數字,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
5321 美而快,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0
5351 鈺創,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
5483 中美晶,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1
6109 亞元,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
6129 普誠,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
6182 合晶,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1
6218 豪勉,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1
6239 力成,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1
6442 光聖,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1
6546 正基,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1
6674 鋐寶科技,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
8044 網家,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1
8086 宏捷科,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1
8110 華東,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
8176 智捷,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1
8271 宇瞻,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1
8299 群聯,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1
8454 富邦媒,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
8477 創業家,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2388 威盛,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
