證券代碼,Y,存貨週轉率大於 8.515,有投保董監責任險,獨立董監有兼任,當年度財報重編,3 年內 CPA 有異動,董事長兼任總經理,董事長內部化,總經理內部化,財務主管內部化,監察人內部化,3 年內董事長有異動,3 年內總經理有異動,3 年內財務主管有異動,3 年內發言人有異動,3 年內內部稽核有異動,四大會計師事務所簽證
3023 信邦,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1
3078 僑威,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1
3090 日電貿,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1
4927 泰鼎-KY,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1
5340 建榮,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1
5381 合正,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1
5498 凱崴,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
8039 台虹,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
8121 越峰,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
8358 金居,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1
3115 富榮綱,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0
3369 鐵研,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1595 川寶,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1
3609 三一東林,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1
3288 點晶,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0
3332 幸康,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1
4542 科嶠,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1
5291 邑昇,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1
6114 久威,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1
6174 安碁,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1
6194 育富,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0
6204 艾華,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1
6210 慶生,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1
6259 百徽,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6292 迅德,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
6418 詠昇,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
6432 今展科,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1
6727 亞泰金屬,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8091 翔名,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1
8093 保銳,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1
8147 正淩,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1
8291 尚茂,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1
3369 鐵研,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3465 進泰電子,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1
3492 長盛,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1
3609 三一東林,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1
3207 耀勝,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1
3206 志豐,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1
3310 佳穎,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1
3526 凡甲,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1
3229 晟鈦,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1
3679 新至陞,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1
4542 科嶠,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1
4912 聯德控股-KY,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1
5460 同協,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
6210 慶生,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
6418 詠昇,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1
6432 今展科,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1
6664 群翊,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1
6715 嘉基,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6761 穩得,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8038 長園科,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1
8147 正淩,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1
8287 英格爾,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1471 首利,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1
3191 和進,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0
3338 泰碩,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1
3550 聯穎,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1
4943 康控-KY,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1
5227 立凱-KY,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1
6155 鈞寶,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1
6203 海韻電,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0
6224 聚鼎,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1
6449 鈺邦,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1
6781 AES-KY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6834 天二科技,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2375 凱美,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1
2431 聯昌,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
2483 百容,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1
2493 揚博,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1
3011 今皓,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1
3032 偉訓,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1
3322 建舜電,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1
3533 嘉澤,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1
6127 九豪,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1
6141 柏承,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1
8182 加高,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1
