證券代碼,Y,ROA 稅前息前折舊前,ROA 稅後息前,ROA 稅後息前折舊前,ROE 稅後,ROE 常續利益,已實現銷貨毛利率,營業利益率,稅前淨利率,稅後淨利率,業外收支 / 營收,常續利益率 稅後,營業費用率,現金流量比率,有息負債利率,稅率,每股淨值,常續性 EPS,每股現金流量,每股營業額,每股營業利益,每股稅前淨利,營收成長率,營業毛利成長率,已實現銷貨毛利成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,折舊性固定資產成長率,總資產報酬成長率,流動比率,速動比率,利息支出率,總負債 / 總淨值,負債比率,淨值 / 資產,長期資金適合率,借款依存度,或有負債 / 淨值,營業利益 / 實收資本比,稅前純益 / 實收資本,存貨及應收帳款 / 淨值,應收帳款週轉次數,總資產週轉次數,固定資產週轉次數,淨值週轉率（次）,淨營業週期（日）
3257 虹冠電,0,15.02,13.34,14.52,15.46,14.74,46.52,12.05,21.2,21.04,9.15,20.06,34.47,108.71,6.34,0.76,20.1,3.02,3.15,14.19,1.71,3.01,-0.44,1.16,1.16,-24.3,15.73,28.92,28.92,27.23,3.29,7.32,9.11,3.44,609.74,445.11,1.38,15.09,13.11,86.89,430.29,3.88,0,17.11,30.09,34.03,4.32,0.63,3.15,0.73,223.37
3529 力旺,0,15.25,9.84,12.94,10.42,11.53,99.89,34.92,31.75,26.65,-3.17,29.48,64.96,300.95,0,16.05,20.32,2.39,3.39,8.12,2.84,2.56,-5.1,17.3,17.3,30.8,7.32,6.4,6.4,18.31,-2.85,-4.32,16.31,0.7,1183.44,1177.2,0,6.77,6.34,93.66,291.33,0,0,27.78,25.26,1.22,29.21,0.37,1.25,0.39,-74.42
3530 晶相光,0,0.56,-2.66,0.01,-2.75,-2.75,28.86,-4.9,-5.58,-5.58,-0.68,-5.58,33.76,11.37,0,0,10.71,-0.21,0.05,3.83,-0.19,-0.35,-2.18,42.3,42.3,-347.46,-6073.82,-6073.82,-6073.82,-6073.82,116.21,122.07,442.97,-2.54,1626.48,1424.04,0,2.39,2.34,97.66,7858.67,0,0,-1.88,-2.14,3.79,43.99,0.48,47.45,0.49,38.94
3596 智易,0,7.37,4.06,5.97,7.75,6.9,11.87,2.25,3.28,2.67,1.03,2.38,9.62,16.67,2.11,18.5,35.4,2.22,5.62,107,2.41,3.51,-13.5,-8.6,-8.6,-39.17,-32.39,-33.83,-33.83,-41.99,-7.45,2.6,-7.99,-2.97,181.3,103.21,7.02,92.26,47.99,52.01,447.42,23.47,0,24.08,35.11,144.37,3.72,1.43,12.36,2.9,124.15
3680 家登,0,14.55,9.11,12.59,13.35,13.5,32.99,10.11,10.05,8.85,-0.07,8.95,22.87,20.92,2,11.91,20.52,2.25,2.15,25.13,2.54,2.76,82.32,30.5,30.5,30.31,28.63,23.19,23.19,22.49,78.83,60.43,51.09,4.37,158.91,94.95,5.35,59.74,37.4,62.6,178.08,37.5,0,25.42,25.25,38.61,8.31,0.98,2.29,1.51,79.43
3686 達能,0,-4.9,-9.76,-4.38,-17.2,-17.2,-81.15,-90.79,-97.76,-83.66,-6.97,-83.66,9.64,-23.51,2.78,0,19.64,-3.71,-1.61,4.43,-4.02,-4.33,-76.67,-217.91,-217.91,-140.48,-136.73,-130.72,-130.72,-130.8,-16.8,-16.33,-6.31,-5.09,99.81,87.26,-10.28,61.95,38.25,61.75,117.39,59.77,0,-40.24,-43.33,2.74,10.52,0.13,0.2,0.21,41.49
4968 立積,0,8.99,-8.82,-1.88,-22.86,-22.86,30.75,1.18,0.08,-7.39,-1.11,-7.39,29.57,-17.27,1.52,0,6.21,-1.57,-1.55,21.24,0.25,0.02,6.35,14.77,14.77,109.4,100.62,45.85,45.85,45.85,-7.01,-17.53,138.51,7.89,148.36,77.58,-6.1,163.13,62,38,537.76,90.17,0,2.46,0.16,198.98,3.91,1.25,22.5,3.09,149.84
5344 立衛,0,3.56,9.37,1.57,9.82,-3.43,6.39,-15,55.02,49.72,70.02,-17.35,21.4,11.52,0,9.64,11.5,-0.4,0.07,2.3,-0.35,1.27,-17.37,-80.69,-80.69,-209.19,195.48,167,167,-193.14,-1.63,-2.56,-0.68,6.22,887.15,872.46,0,5.38,5.1,94.9,225.91,0,0,-3.45,12.67,4.8,4.07,0.19,0.45,0.2,89.29
5388 中磊,0,11.11,6.6,9.13,21.27,22.77,15.5,5.35,4.84,3.91,-0.51,4.19,10.14,32.82,2.43,19.22,19.51,4.12,12.67,98.5,5.27,4.83,45.51,50.83,50.83,83.51,33.05,29.31,29.31,44.96,7.58,16.6,10.37,1.91,124.87,91.88,10.22,239,70.5,29.5,184.76,92.35,0,52.27,47.31,107.73,8.64,1.54,7.1,5.44,5.94
6223 旺矽,0,8.53,5.29,7.36,8.36,8.36,45.94,10.25,10.13,8.88,-0.12,8.88,35.69,1.53,1.58,12.36,38.68,3.42,0.34,37.4,3.83,3.79,-29.82,-23.79,-23.6,-59.12,-59.58,-59.68,-59.68,-58.55,0.2,-4.19,24.45,-7.45,171.28,76.85,0.17,61.65,38.14,61.86,199.54,2.9,0,37.37,36.92,75.78,4.32,0.6,2.09,0.94,340.2
6233 旺玖,0,1.23,-7.33,0.39,-8.07,-2.62,54.15,-11.75,-21.7,-22.53,-9.95,-7.32,65.9,121.94,0,0,14.28,-0.36,1.58,5.33,-0.63,-1.14,-35.67,-26.66,-26.66,-214.29,-131.12,-70.36,-70.36,-203.58,-7.04,-7.6,20.43,-4.6,834.83,777.56,-1.18,9.44,8.63,91.37,831.5,0,0,-6.07,-11.2,8.17,6.59,0.33,2.99,0.36,104.64
6237 驊訊,0,-0.81,-6.63,-3.31,-7.14,-5.71,64.98,-25.71,-19.85,-29.04,5.86,-23.19,90.69,26.63,0,0,18.07,-1.07,0.32,4.63,-1.19,-0.92,-5.44,-12.04,-12.04,-9.53,69.16,52.67,52.67,34.7,-5.08,-7.74,234.88,7.52,853.25,803.33,-0.01,9.33,8.54,91.46,374.85,0,0,-11.79,-9.1,5.55,5.99,0.23,1.3,0.25,58.17
6415 矽力*-KY,1,42.15,41.32,41.76,82.23,82.23,52.29,29.13,28.29,28.29,-0.84,28.29,23.16,82.67,4.99,0.01,19.16,7.18,4.35,25.38,7.39,11.52,186.13,239.65,239.65,2980.74,569.49,569.46,569.46,569.46,65.31,1226.93,401.83,64.52,652.67,524.05,4.23,17.11,14.61,85.39,2413.35,0,0,73.92,71.8,39.04,12.13,1.41,53.31,2.91,70.63
8082 深耕,1,-69.4,-110.46,-69.91,-146.51,-96.26,-248.11,-1535.68,-2267.88,-2267.08,-732.21,-1489.51,1287.57,-401.29,2.97,0,0.96,-3.38,-1.55,0.23,-3.49,-5.15,-93.93,66.4,66.4,8.93,-6.83,-8.78,-8.78,-1.09,-63.6,-84.18,-95.2,-10.23,408.8,359.08,-0.05,158.96,61.38,38.62,1343.67,0,0,-34.86,-51.49,0,1.96,0.05,0.29,0.06,269.23
2351 順德,0,15.38,6.37,12.53,13.19,13.27,15.12,7.32,7.62,6.08,0.3,6.12,7.8,38.11,1.9,20.21,23.07,2.7,5.96,50.26,3.68,3.83,3.44,19.76,19.76,26.78,51.49,60.29,60.29,59.21,3.73,10.63,-2.51,2.33,165.65,86.98,9.8,118.63,54.26,45.74,131.7,70.92,0,36.8,38.3,92.98,5.11,0.96,1.93,2.17,130.94
2363 矽統,0,-3.17,-3.76,-3.46,-3.89,-4.42,12.7,-84.46,-61.27,-63.48,23.19,-72.02,97.16,-390.42,0,0,11.94,-0.53,-0.79,0.73,-0.62,-0.45,-24.15,-61.52,-61.52,70.55,78.49,81.25,81.25,77.03,-4.14,-0.61,-10.25,14.3,1246.18,1190.53,0,1.7,1.68,98.32,906.48,0,0,-6.2,-4.5,1.86,5.74,0.06,0.54,0.06,89.79
2379 瑞昱,0,14.63,10.15,13.22,16.31,16.2,43.19,8.91,11.56,10.77,2.65,10.7,34.31,31.33,0.86,6.82,38.65,5.97,8.45,55.81,4.97,6.46,14.49,20.23,20.23,9.99,33.86,35.74,35.74,37.7,29.47,10.33,-2.68,3.36,200.24,163.03,1.35,74.81,42.79,57.21,643.23,32.21,0,49.73,64.51,35.07,7.76,0.93,9.16,1.51,35.03
2401 凌陽,0,4.38,1.11,3.52,1.25,0.82,39.8,-0.17,1.94,1.51,2.11,0.99,40.04,50.48,2.26,22.44,14.92,0.01,2.32,14.48,-0.02,0.28,-1.08,3.75,3.75,96.73,118.51,114.03,114.03,122.11,-2.48,2.35,10.85,7.53,305.39,262.77,23.49,37.01,27.01,72.99,513.78,17.44,0,-0.24,2.78,23.72,5.81,0.59,4.16,0.83,100.57
2436 偉詮電,0,5.77,4.05,4.72,4.76,4.13,22.51,2.3,8.32,6.94,6.02,6.02,20.21,6.34,0,16.54,11.92,0.5,0.11,8.28,0.19,0.65,-6.51,2.15,2.15,27.24,120.09,308.36,308.36,65.01,-1.29,-2.19,-10.82,2.91,711.72,636.45,0.29,18.38,15.52,84.48,1152.41,0,0,1.9,6.89,30.78,3.56,0.58,7.73,0.69,96.17
2441 超豐,0,26.3,11.91,22.52,13.75,13.77,23.73,19.24,19.95,17.57,0.72,17.6,4.49,184.69,0,11.93,21.58,2.84,6.17,16.16,3.11,3.3,1.3,27.58,27.58,30.52,32.79,29.61,29.61,30.01,11.48,9.34,4.08,2.84,422.5,374.42,0,16.45,14.12,85.88,199.53,0,0,31.09,32.25,25.08,4.29,0.68,1.53,0.78,93.81
2640 大車隊,0,28.92,16.28,23.75,20.74,20.56,53.66,22.89,23.71,19.41,0.83,19.23,30.77,133.68,0,18.16,27.1,5.34,7.09,27.7,6.34,6.57,27.53,22.68,22.68,28.9,46.42,50.45,50.45,39.4,5.1,11.05,16.94,8.51,318.8,296.21,0.03,24.14,19.44,80.56,482.65,0,0,63.39,65.68,20.48,6.16,0.84,5.28,1.07,34.88
3016 嘉晶,0,5.16,-1.42,3.88,-2.6,-2.91,10.29,-1.41,-3.2,-3.31,-1.79,-3.7,11.71,39.63,2.76,0,11.05,-0.32,1.63,8.77,-0.12,-0.28,10.05,36.08,36.08,72.19,44.71,43.24,43.24,43.18,-1.95,-2.16,-12.72,0.29,210.35,172.05,-39.8,37.91,27.49,72.51,188.84,28.49,0,-1.24,-2.81,22.87,4.6,0.57,1.4,0.78,104.43
3025 星通,0,7,3.99,6.05,4.85,4.88,44.05,4.53,7.23,6.39,2.69,6.43,39.52,20.53,1.83,11.63,11.14,0.57,0.31,8.51,0.39,0.62,-2.52,-0.88,-0.88,-48.53,-15.83,-19.88,-19.88,-19.34,1.24,0.11,13.68,-1.97,622.58,466.17,1.85,24.09,19.41,80.59,323.72,6.68,0,3.86,6.15,34.27,6.13,0.62,2.47,0.76,164.16
3034 聯詠,0,15.85,12.28,13.23,19.85,19.86,27.73,13.1,13.71,11.45,0.61,11.46,14.62,34.53,0.62,16.51,40.46,7.8,8.04,68.12,8.93,9.36,11.94,10.65,10.65,9.64,10.93,6.88,6.88,6.16,0.41,6.15,-4.42,0.82,238.6,206.7,0.89,58.4,36.87,63.13,1617.62,25.79,0,89.26,93.4,61.5,3.81,1.07,26.62,1.73,82.96
3041 揚智,0,3.96,12.46,1.98,15.09,0.05,45.2,0.49,24.15,21.44,23.67,0.08,44.71,12.59,0,11.25,20.35,0.01,0.48,13.87,0.07,3.43,-18.88,-22.48,-22.48,-97.83,2.72,16.11,16.11,-99.61,2.55,6.69,-1.83,2.24,518.05,481.57,0.01,18.77,15.81,84.19,867.18,0,0,0.65,32.28,16.08,6.95,0.58,5.89,0.7,32.83
3130 一零四,0,19.57,13.54,16.33,21.19,21.19,48.88,12.93,13.31,11.12,0.37,11.12,35.95,53.46,3.48,16.46,36.81,7.32,11.25,66.63,8.62,9.04,3.5,11.89,11.89,31.71,26.27,26.71,26.71,25.97,11.7,12.01,-13.66,3.32,248.15,247.26,0.06,56.34,36.03,63.97,757.58,0,0,86.15,88.65,17.63,11.07,1.22,12.92,1.91,31.35
3152 璟德,0,24.8,16.75,22.42,17.9,17.9,50.83,37.28,39.52,36.83,2.24,36.83,13.56,346.67,0,6.81,39.77,6.89,10.34,18.7,6.97,7.39,15.82,34.86,34.86,39.74,44.92,44.65,44.65,44.65,8.48,7.02,-13.53,5.4,998.89,955.7,0,7.61,7.07,92.93,308.99,0,0,69.7,73.89,12.29,5.18,0.45,1.38,0.49,96.23
3264 欣銓,0,22.53,7.24,18.77,10.14,10.13,29.08,19.98,20.08,16.84,0.11,16.82,9.11,109.34,1.66,16.16,18.83,1.87,5.43,11.1,2.22,2.23,-3.06,-2.67,-2.67,-3.53,-0.66,3.82,3.82,3.32,9.76,4.46,15.06,0.1,187.44,181.48,6.29,51.37,33.94,66.06,127.74,42.81,0,21.41,21.53,12.15,5.01,0.41,0.65,0.6,72.71
3311 閎暉,0,7.71,2.75,6.07,4.2,4.2,18.93,2.88,5.24,3.85,2.36,3.86,16.05,27.36,1.85,26.48,32.98,1.43,3,36.57,1.05,1.92,-24.16,-42.58,-42.58,-80.8,-69.83,-69.48,-69.48,-69.32,-5.55,-1.39,0.13,-5.84,335.65,309.5,8.89,61.35,38.02,61.98,278.73,24.91,0,10.53,19.17,27.08,3.94,0.66,2.49,1.09,36.75
3372 典範,0,8.49,-12.03,6.27,-14.78,-5.59,-0.18,-18.54,-18.03,-18.03,0.51,-6.82,7.18,89.6,2.09,0,8.42,-0.51,1.2,7.44,-1.38,-1.34,-21.27,83.48,83.48,-97.86,-95.29,-95.17,-95.17,26.11,-17.01,-13.43,-22.62,-7.54,395.54,329.19,-0.29,19.81,16.53,83.47,196.17,0.88,0,-13.79,-13.41,26.31,4.04,0.67,1.51,0.82,85.64
3491 昇達科,0,15.89,9.92,13.01,12.9,12.63,35.74,16.5,17.67,14.45,1.17,14.14,19.24,43.2,2.9,18.21,26.74,2.99,2.52,21.48,3.54,4.06,-1.36,6.27,6.27,9.15,8.01,7.95,7.95,11.34,8.32,30.92,7.08,0.49,293.82,224.87,2.17,21.49,17.69,82.31,197.73,0,0,35.44,37.95,35.4,3.52,0.67,1.61,0.89,108.68
3687 歐買尬,0,-2.4,-6.4,-2.33,-7.37,-6.63,28.46,-49.47,-45.42,-40.49,4.05,-36.44,77.94,-169.55,0,0,51.65,-3.74,-14.72,11.92,-5.9,-5.42,-54.24,-80.43,-80.43,-178.02,-184.03,-196.88,-196.88,-173.22,-11.08,-10.82,-26.6,-11.99,636.05,389.81,0,14.84,12.93,87.07,4037.13,0,0,-58.98,-54.16,1.75,3.38,0.16,6.59,0.18,54.5
5287 數字,0,35.64,28.96,29.6,46.47,46.48,72.99,40.86,43.96,36.5,3.1,36.51,32.13,-61.07,0,16.96,27.74,12.29,-5.14,33.66,13.75,14.79,11.45,10.41,10.41,11.04,14.97,15.29,15.29,15.29,-22.17,10.38,-37.6,3.38,379.92,152.75,0,33.84,25.28,74.72,9523.66,0,0,137.51,147.94,21.6,24.22,0.79,88.79,1.27,148.01
5321 美而快,0,-1.05,4.52,-4.2,24.42,-73.07,5.31,-18.32,12.24,8.18,30.57,-24.48,23.64,-5.31,5.96,33.18,8.71,-5.66,-0.95,23.01,-4.22,2.82,65.07,121.19,121.19,68.17,115.85,111.02,111.02,58.76,-65.37,35.73,-78.17,19.04,76.07,61.83,24.18,201.96,66.88,33.12,180.64,40.55,0,-42.16,28.17,134.68,3.42,0.44,1.68,2.99,56.61
5351 鈺創,0,3.06,0.21,2.51,-0.37,-0.04,14.93,-0.5,-0.21,-0.25,0.29,-0.03,16.29,31.77,1.87,0,10.23,0.06,1.21,15.43,-0.08,-0.03,6.02,62.8,62.8,93.75,97.24,96.79,96.79,99.69,3.12,3.24,27.28,5.12,302.6,212,245.16,68.11,40.52,59.48,635.27,45.6,0,-0.75,-0.32,62.92,5.31,0.88,7.8,1.48,124.64
5483 中美晶,0,10.29,0.41,8.48,0.2,1.47,10.98,2.83,0.58,1.53,-2.25,1.29,8.15,26.99,1.97,69.64,34.98,0.46,4.71,42.47,1.2,0.25,20.81,299.44,299.44,140.88,104.46,113.24,101.52,114.19,3.11,11.48,-10.56,6.84,152.25,85.15,91.36,92.72,48.11,51.89,155.04,33.75,0,12.02,2.45,41.19,5.91,0.57,1.3,1.14,84.01
6109 亞元,0,-0.12,-2.7,-0.92,-5.86,-5.67,12.74,-2.21,-1.97,-2.32,0.23,-2.25,14.95,-2.26,1.51,0,10.01,-0.54,-0.25,25.64,-0.57,-0.51,-11.47,-21.32,-21.32,-186.65,-186.11,-220.96,-220.96,-216.79,0.82,-3.4,12.37,-5.31,152.59,107.55,-7.3,109.49,52.26,47.74,399.86,29.54,0,-5.66,-5.06,110.76,3.54,1.23,11.53,2.53,51.88
6129 普誠,0,-3.03,-4.42,-3.73,-5.07,-5.51,34.87,-7.61,-6.41,-7.18,1.2,-7.81,42.48,56.3,0,0,11.29,-0.59,0.82,8.24,-0.63,-0.53,-12.05,-15.32,-15.32,-865.43,-279.08,-452.59,-452.59,-217.82,-5.2,-5.98,0.15,-5.59,702.07,596.73,0,15.22,13.21,86.79,868.57,0,0,-6.27,-5.28,23.54,6.42,0.62,6.33,0.71,102.87
6182 合晶,0,3.98,-2.69,2.65,-9.25,-8.19,9.8,-7.96,-11.19,-11.61,-3.23,-10.28,17.76,4.08,2.4,0,18.63,-1.05,0.8,16.24,-1.29,-2,18.39,443.61,443.61,43.79,27.82,25.39,25.39,38.61,-1.83,-0.15,-1.91,1.67,96.52,43.97,-41.52,153.56,60.56,39.44,127.43,124.45,0,-12.87,-18.09,59.44,3.69,0.31,0.66,0.8,240.17
6218 豪勉,0,8.56,5.78,6.78,8.31,8.9,43.4,9.07,9.52,7.39,0.45,7.91,34.33,65.91,1.14,22.4,15.49,1.37,4.33,17.34,1.57,1.65,-3.7,-7.83,-7.83,-15.28,21.06,17.29,17.29,-20.31,-0.02,0.99,228.37,0.8,231.02,165.83,1.13,44.36,30.73,69.27,310.67,10.04,0,15.73,16.5,32.2,10.05,0.78,5.31,1.12,94.47
6239 力成,0,10.79,-4.24,7.74,-7.99,-7.72,14.05,7.74,-7.41,-8.52,-15.15,-8.24,6.31,91.52,1.38,0,38.7,-5.1,16.54,49.21,3.81,-3.64,-9.63,-28.1,-28.1,-41.88,-155.98,-177.74,-177.74,-173.97,-0.38,-14.13,-0.96,-11.24,227.75,208.03,-5.74,94.12,48.49,51.51,152.91,51.68,0,37.37,-35.76,27.4,4.86,0.52,1.04,0.94,66.37
6442 光聖,0,9.28,4.44,7.55,7.78,8.51,15.41,3.92,4.54,3.59,0.62,3.92,11.49,20.07,1.57,21.02,29.42,2.38,3.73,60.67,2.38,2.76,-7.26,-5.29,-5.29,-22.25,9.91,8.61,8.61,16.84,-1.89,10.83,-9.01,0.25,210.72,156.77,3.44,69.99,41.17,58.83,379.52,14.48,9.38,23.77,27.55,85.89,3.62,1.2,7.46,2.17,91.81
6546 正基,0,12.86,3.81,11.16,7.13,7.28,8.14,1.02,2.32,2.18,1.3,2.22,7.12,40.82,1.99,6.04,8.35,0.58,3.68,26.24,0.27,0.61,86.64,158.41,156,157.41,148.99,150.1,150.1,179.35,20.69,8.74,13.3,14.68,129.01,81.63,9.29,112.93,53.04,46.96,174.45,23.21,0,2.68,6.08,88.65,7.35,1.61,5.54,3.27,30.75
6674 鋐寶科技,0,,,,,,,,,,,,,,,0,28.44,,,,,,,,,,,,,,11.28,49.08,,,134.98,113.57,,221.29,68.88,31.12,856.04,0,,,,191.9,,,,,
8044 網家,0,16.42,11.44,13.13,27.39,27.42,17.05,4.07,4.22,3.36,0.16,3.36,12.98,40.62,0,20.53,21.15,6.17,15.36,198.3,8.07,8.38,10.88,14.66,14.66,37.14,38.99,28.02,28.02,26.79,22.73,15.85,-11.85,3.03,158.51,140.45,0.03,145.75,59.31,40.69,1128.65,0,0,80.69,83.77,31.88,44.95,3.41,80.37,8.16,-24.42
8086 宏捷科,0,8.05,-3.11,5.47,-4.07,-4.08,9.25,-6.2,-5.28,-6.95,0.92,-6.97,15.46,145.88,1.83,0,13.25,-0.55,2.41,7.87,-0.49,-0.42,-33.81,-64.09,-64.09,-264.42,-321.33,-1667.24,-1667.24,-1360.45,-6.37,-2.76,-6.23,-3.31,468.66,377.47,-6.15,22.26,18.21,81.79,180.72,14.12,0,-4.88,-4.15,13.15,9.47,0.47,0.95,0.59,74.6
8110 華東,0,17.68,2.65,14.15,4.86,1.99,7.48,3.24,5.1,3.63,1.86,1.49,4.24,83,1.85,28.73,13.7,0.26,5.47,17.82,0.58,0.91,6.96,-19.96,-19.96,-0.44,292.45,237.01,237.01,-53.95,3.91,5.62,-1.08,4.46,125.05,97.29,30.08,142.56,58.77,41.23,113.5,115.22,0,5.73,9.03,34.77,6.57,0.55,0.76,1.34,52.83
8176 智捷,0,-3.49,-5.36,-2.65,-10.73,-10.79,18.74,-15.7,-11.28,-8.99,4.42,-9.03,34.44,-10.59,4.97,0,12.05,-1.04,-1.21,21.34,-3.35,-2.55,-22.52,-24.25,-24.31,-208551,-226.23,-215.75,-215.75,-224.57,-21.91,-14.02,24.31,-8.3,172.83,100.36,-15.25,68.51,40.66,59.34,251.88,27.79,0,-33.5,-24.08,68.32,3.73,0.67,3.5,1.19,157.09
8271 宇瞻,0,17.24,12.7,13.34,19.88,20.01,13.42,5.75,5.91,4.55,0.16,4.58,7.67,44.76,1.49,23.02,17.72,3.35,4.45,73.2,4.21,4.33,27.68,10.71,10.71,13.21,12.94,12.42,12.42,18.17,11.33,12.33,577.81,1.4,215.66,121.58,0.63,56.62,36.15,63.85,332.84,5.03,0,42.05,43.2,85.15,13.18,2.78,25.98,4.37,43.23
8299 群聯,0,21.53,17.49,18.19,26.14,26.25,20.18,12.3,13.45,11.36,1.15,11.41,7.88,22.54,0.94,15.51,77.7,17.65,9.62,173.97,21.4,23.4,-1.43,22.97,22.97,29.63,45.93,43.35,43.35,44.92,22.29,16.92,18.14,5.98,262.53,186.09,0.09,52.61,34.47,65.53,922.81,0.61,0,213.96,233.98,62.53,8.76,1.54,21.02,2.3,44.79
8454 富邦媒,0,21.44,14.12,17,35.56,36.19,12.44,4.55,4.77,2.52,0.22,3.8,7.87,46.6,11.17,21.73,16.86,6.45,12.19,160.67,7.31,7.67,15.75,-2.48,-2.48,47.76,47.13,2.48,51.8,54.56,10.29,1.33,35.03,4.98,130.6,108.41,1.89,166.58,62.49,37.51,302.91,4.87,0,73.11,76.7,36.45,43.97,3.72,32.9,9.52,-23.89
8477 創業家,0,-34.66,-34.94,-34.7,-90.36,-90.34,28.42,-10.18,-10.02,-10.02,0.16,-10.02,38.6,36.37,0,0,9.7,-6.72,9.35,67.08,-6.83,-8.6,750.33,666.66,666.66,-125.56,-123.56,-123.56,-123.56,-123.53,243.21,87.06,165.55,-42.42,144.25,140.21,0,207.3,67.46,32.54,2898.94,0,0,-68.26,-67.22,39.07,31.38,3.49,291.4,9.02,-51.76
2388 威盛,1,-15.12,-12.4,-17.38,-31.55,-51.04,31.67,-31.74,-18.51,-20.94,13.23,-33.88,63.42,-42.01,2.26,0,6.36,-4.17,-4.18,12.33,-3.92,-2.28,36.34,28.18,28.18,46.96,71.5,68.46,68.46,41.06,9.16,-26.93,-0.98,30.35,100.58,78,-5.98,199.65,66.63,33.37,173.16,99.79,0,-39.16,-22.84,48.16,11.8,0.62,2.08,1.51,61.67
8028 昇陽半導體,1,41.33,31.7,40.11,87.43,86.85,44.65,28.84,33.27,34.08,4.43,33.86,15.81,82.83,3,0,7.97,4.23,4.02,12.49,3.6,4.62,20.2,36.72,36.72,46.04,76.46,97.76,97.76,101.68,28.03,350.21,7.96,18.08,168.27,117.88,3.33,94.66,48.63,51.37,144.74,55.05,0,36.03,41.56,48.21,7.18,0.9,1.72,2.57,123.62
8097 常珵,1,-6.32,-10.81,-6.9,-25.69,-21.4,7.02,-42.33,-43.25,-43.25,-0.92,-36.04,49.35,4.63,2.44,0,16.24,-3.98,0.52,11.04,-4.67,-4.78,-47.15,-65.38,-65.38,-93.21,-2470.42,-2470.42,-2470.42,-474.55,-13.32,-22.42,-5.99,-11.92,28.2,18.01,-9.9,133.42,57.16,42.84,240.62,109.22,0,-46.74,-47.76,15.02,4.33,0.27,0.97,0.59,38.45
8472 夠麻吉,1,9.85,8.55,8.82,31.54,31.54,95.58,11.76,12.84,11.53,1.09,11.53,83.83,50.48,0,10.25,13.8,3.76,19.26,32.6,3.83,4.19,95.1,95.47,95.47,398.39,455.18,347.01,347.01,347.01,49.59,37.44,9.51,14.97,89.98,87.57,0,281.85,73.81,26.19,4553.44,0,0,38.33,41.87,11.61,15.33,0.74,112.48,2.74,-4343.77
2302 麗正,0,5.07,5.7,4.52,7.05,3.56,24.75,11.96,20.2,19.47,8.24,9.83,30.92,-15.79,2.32,3.57,10.99,0.37,-0.3,3.81,0.46,0.77,-1.65,71.95,71.95,529.66,343.71,364.44,364.44,1256.73,1.94,9.45,25.45,4.3,229.41,181.78,2.27,21.79,17.89,82.11,400.69,6.72,0,4.55,7.69,31.28,2.21,0.29,1.47,0.36,157.12
2338 光罩,0,8.71,1.32,6.95,1.44,1.45,18.78,2.05,4.71,3.21,2.66,3.24,16.73,83.72,0.74,31.82,14.09,0.25,1.02,7.22,0.15,0.34,0.32,15.98,15.98,76.31,23.1,-13.31,-13.31,2.72,-3.41,-2.66,-5.35,-0.8,762.91,586.58,0.14,8.74,8.04,91.96,291.87,0,0,1.38,3.17,21.57,4.32,0.41,1.29,0.45,162.77
2640 大車隊,0,22.42,13.2,18.26,22.06,21.16,49.26,20.57,21.33,17.36,0.76,16.65,28.69,47.93,1.69,18.65,29.13,5.85,5.28,35.08,7.22,7.48,32.98,22.1,22.1,19.55,19.64,18.92,18.92,15.09,98.2,12.47,87.25,4.68,300.57,285.91,4.87,118.76,54.29,45.71,271.55,92.29,0,72.17,74.84,30.46,5.53,0.73,2.87,1.27,55.72
3006 晶豪科,0,15.44,12.34,12.89,18.39,15.75,21.72,9.48,13.5,11.55,4.02,9.89,12.24,34.24,0,14.45,25.52,3.71,5.06,37.81,3.59,5.11,43.96,50.89,50.89,121.38,82.85,68.36,68.36,90.65,31.85,12.88,-2.54,6.4,239.45,148.19,0.1,59.95,37.48,62.52,1027.83,0,0,34.16,48.62,67.7,10.21,1.07,15.23,1.59,50.57
3014 聯陽,0,13.16,8.18,10.57,10.26,11.8,45.63,14.57,13.77,10.7,-0.8,12.31,31.06,55.14,0,22.34,23.49,2.68,2.78,21.8,3.18,3.1,-3.37,10.3,10.3,115.18,70.7,66.51,66.51,89.2,3.67,6.91,-7.72,2.1,475.96,418.58,0.16,23.67,19.14,80.86,1339.83,0,0,31.73,29.99,25.47,5.56,0.76,11.94,0.96,67.09
3130 一零四,0,19.34,13.89,16.14,22.12,21.53,89.26,23.86,26.01,24.2,2.15,21.23,65.4,62.34,0,16.13,40.03,8.22,15.51,39.05,9.32,10.2,-41.16,7.44,7.44,8.58,15.02,28.11,15.47,12.35,13.23,9.36,-2.09,2.13,237.79,236.88,0,61.87,38.22,61.78,841.46,0,0,93.18,101.56,16.37,5.97,0.64,8.1,1.01,50.07
3227 原相,0,9.7,5.21,8.57,6.1,6.39,45.84,6.59,8.01,7.32,1.42,7.67,39.24,81.89,2.06,8.64,43.86,3.01,5.92,36.37,2.4,2.98,2.6,12.15,12.15,27.06,21.24,29.67,29.67,23.11,0.78,2.2,-5.78,1.64,591.29,541.05,0.42,16.61,14.25,85.75,2326.7,1.04,0,23.81,28.94,19.87,6.21,0.71,18.6,0.83,73.5
