證券代碼,Y,ROA 稅前息前折舊前,ROA 稅後息前,ROA 稅後息前折舊前,ROE 稅後,ROE 常續利益,已實現銷貨毛利率,營業利益率,稅前淨利率,稅後淨利率,業外收支 / 營收,常續利益率 稅後,營業費用率,現金流量比率,有息負債利率,稅率,每股淨值,常續性 EPS,每股現金流量,每股營業額,每股營業利益,每股稅前淨利,營收成長率,營業毛利成長率,已實現銷貨毛利成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,折舊性固定資產成長率,總資產報酬成長率,流動比率,速動比率,利息支出率,總負債 / 總淨值,負債比率,淨值 / 資產,長期資金適合率,借款依存度,或有負債 / 淨值,營業利益 / 實收資本比,稅前純益 / 實收資本,存貨及應收帳款 / 淨值,應收帳款週轉次數,總資產週轉次數,固定資產週轉次數,淨值週轉率（次）,淨營業週期（日）
4919 新唐,1,,,,,,38.05,-3.64,-0.79,-1.95,2.85,-2.57,41.68,15.88,,0,10.67,-0.36,1.82,14.12,-0.51,-0.17,,,,,,,,,,,,,180.13,122.86,-5.97,80.86,44.71,55.29,296.02,22.55,0,-5.14,-1.11,61.69,,,,,
5387 茂德,1,-7.32,-22.22,-9.17,-59.59,-53.95,-76.1,-94.83,-117.11,-117.14,-22.28,-106.05,18.73,1.04,4.06,0,6.16,-4.5,0.13,4.24,-4.02,-5.24,-35.66,-5077.78,-5077.78,-335.13,-309.44,-380.97,-380.97,-344.91,-19.15,-41.28,-7.59,-14.64,11.18,3.38,-8.41,204.79,67.19,32.81,44.1,170.11,0,-40.08,-49.49,14.46,9.15,0.2,0.25,0.51,55.16
8150 南茂,1,9.54,-8.59,6.81,-18.05,-15.4,2.03,-18.44,-22.68,-20.83,-4.24,-17.78,20.47,71.37,3.26,0,16.06,-3.29,7.21,19.46,-3.59,-4.41,-28.44,-94.77,-94.77,-156.75,-175.18,-175.7,-175.7,-163.3,-17.25,-27.91,-15.6,-19.52,101.02,82.35,-13.69,105.97,51.45,48.55,100.33,89.47,0,-34.14,-42,13.57,5.19,0.45,0.65,0.87,76.7
8277 商丞,1,-42.65,-44.7,-43.14,-179.76,-177.04,-8.4,-9.48,-10.38,-10.41,-0.9,-10.25,1.08,-14.01,4.91,0,1.57,-6.24,-2.44,60.9,-5.77,-10.35,-6.39,-944.31,-944.31,-414.79,-229.83,-313.87,-313.87,-338.7,-10.75,-71.34,-15.95,-33.04,101.88,45.06,-7.07,708.44,87.63,12.37,135.44,501.09,0,-57.74,-63.2,437.55,14.69,4.52,38.87,17.28,39.08
3141 晶宏,0,-1.71,-5.32,-0.31,-6.13,-6.2,26.93,-9.29,-9.21,-5.79,0.08,-5.85,36.22,-176.28,0,0,9.5,-0.61,-2.69,10.38,-0.96,-0.96,13.2,90.49,90.49,65.03,61.65,69.27,69.27,69.03,-3.98,-5.85,-26.33,12.55,534.36,306.77,-0.22,16.08,13.85,86.15,5770.2,0,0,-9.63,-9.54,47.48,7.67,0.92,53.46,1.06,122.12
3169 亞信,0,20.55,16.85,16.14,18.65,15.93,44.59,21.02,24.83,22.96,3.81,19.61,23.57,359.49,0,7.52,15.59,2.09,5.86,10.67,2.24,3,7.43,5.34,5.34,-5.06,34.8,51.16,51.16,-8.37,41.42,45.92,8.77,5.9,998.88,929.28,0,9.25,8.47,91.53,1510.75,0,0,21.68,25.61,8.97,17.79,0.73,10.78,0.81,77.37
3228 金麗科,0,-4.3,-13.92,-6.18,-14.91,-14.35,53.85,-24.96,-26.33,-26.33,-1.37,-25.33,78.81,-156.57,0,0,12.02,-1.86,-1.38,7.34,-1.83,-1.93,-20.6,-16.16,-16.16,-3125.47,-11024.5,-13910.2,-13910.2,-7113.48,-13.06,-13.7,-8.54,-11.94,862.27,574.09,0,7.57,7.04,92.96,504.15,0,0,-18.33,-19.34,38.77,3.23,0.53,2.94,0.57,261.92
3556 禾瑞亞,0,12.99,10.91,12.97,12.22,12.49,60.45,21.77,23.7,24.48,1.93,25.02,38.68,78.42,0,0,20.19,2.46,1.96,9.84,2.14,2.33,-11,2.53,2.53,77.46,34.68,40.42,40.42,43.68,5.66,5.04,-51.4,3.3,871.11,801.93,0,12.36,11,89,24712.9,0,0,21.42,23.32,11.81,7.54,0.45,78.78,0.5,49.44
3592 瑞鼎,0,41.4,33.54,36.78,60.76,60.41,28.68,18.93,18.9,17.22,-0.03,17.12,9.75,24.87,2.36,8.87,51.46,25.15,11.8,146.87,27.8,27.96,23.18,50.26,50.26,48.17,45.68,44.78,44.78,41.16,87.5,61.75,-20.62,16.62,201.43,172.41,0.25,91.57,47.8,52.2,12348.5,8.07,0,278,277.58,150.4,3.02,1.94,311.93,3.53,75.54
4973 廣穎,0,18.27,11.64,12.07,17.85,17.53,9.19,3.4,3.82,2.55,0.42,2.51,5.79,10.05,1.41,33.21,17.12,2.75,1.13,109.59,3.73,4.25,72.71,44.18,44.18,107.92,25.14,-11.27,-11.27,-13.29,40.91,20.28,-14.4,-1.73,248.72,133.76,0.52,64.91,39.36,60.64,4631.61,12.01,0,37.26,41.9,109.7,19.83,4.54,273.5,6.99,29.84
